iata,name,city,country,lat,lng,timezone
FIK,Finke Airport,Finke,Australia,-25.5946998596,134.582992554,
JJG,Humberto Ghizzo Bortoluzzi Regional Airport,Jaguaruna,Brazil,-28.6753,-49.0596,
WKI,Hwange (Town) Airport,Hwange,Zimbabwe,-18.362967,26.519791,
KLJ,Klaipėda Airport,Klaipeda,Lithuania,55.7118988037,21.242799758900002,
ETB,West Bend Municipal Airport,WEST BEND,United States,43.4221992493,-88.1278991699,
GLR,Gaylord Regional Airport,GAYLORD,United States,45.013500213600004,-84.7035980225,
AID,Anderson Municipal Darlington Field,ANDERSON,United States,40.10860061649999,-85.6129989624,
QND,Cenej Airport,Novi Sad,Serbia,45.385799,19.839199,
GUU,Grundarfjörður Airport,Grundarfjordur,Iceland,64.99140167236328,-23.224700927734375,
PCD,Prairie Du Chien Municipal Airport,Prairie du Chien,United States,43.019298553467,-91.12370300293,
OTJ,Otjiwarongo Airport,Otjiwarongo,Namibia,-20.434700012207,16.660800933838,
TSM,Taos Regional Airport,Taos,United States,36.45819855,-105.6719971,
